electkwh,PV_generation,chargekwh,h_countdown,soc_ev,month,day,hour,nday,d_res,hour_cos,hour_sin,month_cos,month_sin,spring,summer,autumn,winter,season,p_buy,p_sell
2.2569999999999997,0.0,,-1.0,1.0,11,18,0,409,2.2569999999999997,1.0,0.0,0.8660254037844384,-0.5000000000000004,false,false,true,false,3,0.3,0.1
1.731,0.0,,-1.0,1.0,11,18,1,410,1.731,0.9629172873477994,0.2697967711570243,0.8660254037844384,-0.5000000000000004,false,false,true,false,3,0.3,0.1
0.258,0.0,,-1.0,1.0,11,18,2,411,0.258,0.8544194045464886,0.5195839500354336,0.8660254037844384,-0.5000000000000004,false,false,true,false,3,0.3,0.1
2.225,0.0,,-1.0,1.0,11,18,3,412,2.225,0.6825531432186541,0.730835964278124,0.8660254037844384,-0.5000000000000004,false,false,true,false,3,0.3,0.1
2.057,0.0,,-1.0,1.0,11,18,4,413,2.057,0.4600650377311522,0.8878852184023752,0.8660254037844384,-0.5000000000000004,false,false,true,false,3,0.3,0.1
2.884,0.0,,-1.0,1.0,11,18,5,414,2.884,0.20345601305263397,0.9790840876823228,0.8660254037844384,-0.5000000000000004,false,false,true,false,3,0.3,0.1
1.566,0.5780000000000001,,-1.0,1.0,11,18,6,415,0.988,-0.06824241336467088,0.9976687691905392,0.8660254037844384,-0.5000000000000004,false,false,true,false,3,0.3,0.1
1.2229999999999999,2.778,,-1.0,1.0,11,18,7,416,-1.5550000000000002,-0.33487961217098616,0.9422609221188205,0.8660254037844384,-0.5000000000000004,false,false,true,false,3,0.3,0.1
1.667,3.588,,-1.0,1.0,11,18,8,417,-1.921,-0.5766803221148671,0.8169698930104421,0.8660254037844384,-0.5000000000000004,false,false,true,false,3,0.3,0.1
0.857,4.068,,-1.0,1.0,11,18,9,418,-3.2109999999999994,-0.7757112907044199,0.6310879443260526,0.8660254037844384,-0.5000000000000004,false,false,true,false,3,0.3,0.1
2.1350000000000002,4.433,,-1.0,1.0,11,18,10,419,-2.2979999999999996,-0.9172113015054528,0.3984010898462418,0.8660254037844384,-0.5000000000000004,false,false,true,false,3,0.3,0.1
0.7629999999999999,4.1,,-1.0,1.0,11,18,11,420,-3.3369999999999997,-0.9906859460363308,0.13616664909624665,0.8660254037844384,-0.5000000000000004,false,false,true,false,3,0.3,0.1
0.274,3.0039999999999996,,-1.0,1.0,11,18,12,421,-2.7299999999999995,-0.9906859460363308,-0.1361666490962464,0.8660254037844384,-0.5000000000000004,false,false,true,false,3,0.3,0.1
